country,week_number,number_of_invoices,total_quantity,invoice_values
Portugal,22,19,1525,4975.32
Germany,2,14,1680,6040.99
Netherlands,49,5,28,103.78
Spain,4,16,730,1909.05
Netherlands,29,4,1723,3435.96
Germany,25,5,1169,5154.49
France,47,9,1644,3987.62
Spain,49,11,657,2881.72
France,18,3,1882,9171.42
Germany,42,18,1719,1383.78
France,45,17,663,737.53
Italy,46,4,933,1833.18
France,30,12,686,1802.55
Netherlands,51,3,651,490.59
France,52,4,1511,950.36
Spain,45,1,1631,7031.04
Netherlands,4,17,877,1420.49
Netherlands,27,6,147,351.23
Italy,9,9,1465,2817.7
Germany,49,18,920,2856.52
Netherlands,12,16,449,1851.47
Portugal,10,11,813,3972.72
Germany,42,3,1738,5405.36
Portugal,5,18,624,1594.49
Portugal,8,9,191,105.17
Spain,17,12,1961,7768.83
France,47,2,1907,968.93
France,12,4,1661,7977.64
Portugal,9,1,1456,1840.08
France,47,7,1240,720.77
Portugal,39,5,1489,764.68
Portugal,29,17,778,1989.76
Germany,11,4,480,554.49
France,3,4,470,307.28
Netherlands,21,11,41,149.94
Netherlands,37,4,416,386.85
Italy,1,12,421,544.1
Spain,39,13,422,219.54
Germany,29,19,1138,2548.52
Portugal,51,8,72,161.92
Italy,9,13,1072,2423.06
Spain,46,12,712,2582.41
Spain,46,9,1298,2304.9
Germany,36,6,1132,1093.31
Spain,18,1,636,2968.11
Portugal,46,6,1478,7197.72
Germany,45,19,1765,1386.71
Italy,32,16,617,618.32
Germany,12,12,1701,3874.73
Netherlands,8,20,1768,8522.73
