order_item_id, order_id, order_item_product_id, order_item_quantity, order_item_subtotal, order_item_product_price
1, 1, 1, 2, 50.00, 25.00
2, 2, 2, 1, 30.00, 30.00
3, 3, 3, 3, 75.00, 25.00
4, 4, 4, 1, 20.00, 20.00
5, 5, 5, 2, 50.00, 25.00
6, 6, 6, 1, 15.00, 15.00
7, 7, 7, 3, 90.00, 30.00
8, 8, 8, 1, 25.00, 25.00
9, 9, 9, 2, 60.00, 30.00
10, 10, 10, 1, 35.00, 35.00
11, 11, 11, 2, 40.00, 20.00
12, 12, 12, 1, 45.00, 45.00
13, 13, 13, 3, 105.00, 35.00
14, 14, 14, 1, 10.00, 10.00
15, 15, 15, 2, 30.00, 15.00
16, 16, 16, 1, 20.00, 20.00
17, 17, 17, 3, 90.00, 30.00
18, 18, 18, 1, 35.00, 35.00
19, 19, 19, 2, 40.00, 20.00
20, 20, 20, 1, 25.00, 25.00
21, 21, 1, 2, 50.00, 25.00
22, 22, 2, 1, 30.00, 30.00
23, 23, 3, 3, 75.00, 25.00
24, 24, 4, 1, 20.00, 20.00
25, 25, 5, 2, 50.00, 25.00
26, 26, 6, 1, 15.00, 15.00
27, 27, 7, 3, 90.00, 30.00
28, 28, 8, 1, 25.00, 25.00
29, 29, 9, 2, 60.00, 30.00
30, 30, 10, 1, 35.00, 35.00
31, 31, 11, 2, 40.00, 20.00
32, 32, 12, 1, 45.00, 45.00
33, 33, 13, 3, 105.00, 35.00
34, 34, 14, 1, 10.00, 10.00
35, 35, 15, 2, 30.00, 15.00
36, 36, 16, 1, 20.00, 20.00
37, 37, 17, 3, 90.00, 30.00
38, 38, 18, 1, 35.00, 35.00
39, 39, 19, 2, 40.00, 20.00
40, 40, 20, 1, 25.00, 25.00
41, 41, 1, 2, 50.00, 25.00
42, 42, 2, 1, 30.00, 30.00
43, 43, 3, 3, 75.00, 25.00
44, 44, 4, 1, 20.00, 20.00
45, 45, 5, 2, 50.00, 25.00
46, 46, 6, 1, 15.00, 15.00
47, 47, 7, 3, 90.00, 30.00
48, 48, 8, 1, 25.00, 25.00
49, 49, 9, 2, 60.00, 30.00
50, 50, 10, 1, 35.00, 35.00
