order_id, order_date, order_customer_id, order_status
1, 2024-04-01, 101, shipped
2, 2024-04-02, 102, processing
3, 2024-04-03, 103, delivered
4, 2024-04-04, 104, shipped
5, 2024-04-05, 105, processing
6, 2024-04-06, 106, delivered
7, 2024-04-07, 107, shipped
8, 2024-04-08, 108, processing
9, 2024-04-09, 109, delivered
10, 2024-04-10, 110, shipped
11, 2024-04-11, 101, processing
12, 2024-04-12, 102, shipped
13, 2024-04-13, 103, processing
14, 2024-04-14, 104, delivered
15, 2024-04-15, 105, processing
16, 2024-04-16, 106, shipped
17, 2024-04-17, 107, processing
18, 2024-04-18, 108, delivered
19, 2024-04-19, 109, shipped
20, 2024-04-20, 110, processing
21, 2024-04-21, 101, delivered
22, 2024-04-22, 102, shipped
23, 2024-04-23, 103, processing
24, 2024-04-24, 104, delivered
25, 2024-04-25, 105, shipped
26, 2024-04-26, 106, processing
27, 2024-04-27, 107, delivered
28, 2024-04-28, 108, shipped
29, 2024-04-29, 109, processing
30, 2024-04-30, 110, delivered
31, 2024-05-01, 101, shipped
32, 2024-05-02, 102, processing
33, 2024-05-03, 103, delivered
34, 2024-05-04, 104, shipped
35, 2024-05-05, 105, processing
36, 2024-05-06, 106, delivered
37, 2024-05-07, 107, shipped
38, 2024-05-08, 108, processing
39, 2024-05-09, 109, delivered
40, 2024-05-10, 110, shipped
41, 2024-05-11, 101, processing
42, 2024-05-12, 102, shipped
43, 2024-05-13, 103, processing
44, 2024-05-14, 104, delivered
45, 2024-05-15, 105, processing
46, 2024-05-16, 106, shipped
47, 2024-05-17, 107, processing
48, 2024-05-18, 108, delivered
49, 2024-05-19, 109, shipped
50, 2024-05-20, 110, processing
