order_id,order_date,order_customer_id,order_status
1,2023-12-27,103,processing
2,2023-05-28,106,shipped
3,2023-11-07,106,shipped
4,2023-12-16,105,processing
5,2023-05-09,105,processing
6,2023-11-13,103,processing
7,2023-10-27,110,processing
8,2024-04-16,108,delivered
9,2024-02-09,108,processing
10,2023-05-26,104,delivered
11,2023-06-11,105,shipped
12,2024-04-28,106,delivered
13,2024-02-06,103,processing
14,2024-02-13,102,processing
15,2023-07-08,101,processing
16,2023-09-08,108,shipped
17,2023-10-08,101,processing
18,2024-04-11,103,delivered
19,2024-04-30,105,delivered
20,2023-08-30,105,delivered
21,2023-06-26,106,delivered
22,2023-09-27,106,shipped
23,2023-12-08,102,shipped
24,2024-01-13,110,processing
25,2023-09-29,105,shipped
26,2023-06-05,106,processing
27,2024-03-30,105,shipped
28,2023-06-13,103,delivered
29,2023-12-27,105,shipped
30,2023-12-28,101,processing
31,2024-04-30,110,processing
32,2024-02-23,108,delivered
33,2024-03-14,102,processing
34,2023-10-28,110,processing
35,2023-09-02,102,shipped
36,2024-01-22,107,delivered
37,2023-06-14,110,processing
38,2023-07-14,105,delivered
39,2023-10-14,102,processing
40,2024-04-30,103,shipped
41,2023-05-03,109,processing
42,2023-06-13,104,shipped
43,2023-05-21,102,delivered
44,2023-11-04,102,delivered
45,2023-06-02,106,processing
46,2024-04-08,104,processing
47,2023-08-08,103,shipped
48,2023-05-22,110,delivered
49,2024-01-07,103,delivered
50,2023-12-13,102,processing
51,2023-11-16,109,shipped
52,2023-08-05,106,processing
53,2023-12-26,109,processing
54,2024-02-21,108,processing
55,2023-09-25,102,delivered
56,2023-11-15,101,shipped
57,2023-09-18,101,shipped
58,2023-09-07,105,delivered
59,2023-09-23,101,delivered
60,2024-01-27,102,processing
61,2023-09-15,102,processing
62,2023-11-21,109,delivered
63,2023-05-12,108,processing
64,2023-12-02,110,shipped
65,2023-07-15,107,processing
66,2024-01-17,107,shipped
67,2023-10-14,107,processing
68,2024-04-04,105,delivered
69,2024-02-11,105,delivered
70,2024-04-30,109,processing
71,2023-11-25,101,shipped
72,2023-12-27,108,delivered
73,2023-12-18,108,processing
74,2023-10-03,108,processing
75,2023-08-22,102,processing
76,2023-06-27,101,shipped
77,2023-07-11,110,processing
78,2024-01-10,110,delivered
79,2024-04-25,101,delivered
80,2023-06-07,110,processing
81,2023-06-17,110,delivered
82,2023-12-24,104,shipped
83,2023-05-21,106,processing
84,2023-06-21,103,delivered
85,2023-08-23,107,delivered
86,2024-03-10,101,delivered
87,2023-05-14,109,delivered
88,2024-01-01,104,delivered
89,2024-03-17,101,processing
90,2023-11-01,108,shipped
91,2023-10-18,102,processing
92,2023-08-14,107,shipped
93,2023-06-24,105,processing
94,2023-08-10,108,shipped
95,2023-05-05,103,shipped
96,2024-04-14,106,processing
97,2023-07-31,106,delivered
98,2023-07-30,105,delivered
99,2023-05-19,101,processing
100,2023-11-22,101,processing
101,2023-08-22,109,shipped
102,2023-08-18,105,processing
103,2023-10-02,109,delivered
104,2023-06-01,108,shipped
105,2024-01-02,106,delivered
106,2023-09-25,105,delivered
107,2023-08-03,110,shipped
108,2023-06-16,108,shipped
109,2023-10-07,108,delivered
110,2023-10-15,104,processing
111,2023-10-27,106,shipped
112,2024-01-22,101,processing
113,2024-02-16,106,shipped
114,2023-05-21,108,shipped
115,2023-05-10,107,shipped
116,2023-11-13,107,shipped
117,2023-07-13,105,processing
118,2023-10-10,102,processing
119,2024-04-15,109,processing
120,2024-04-04,107,shipped
121,2023-08-30,107,shipped
122,2024-01-23,108,delivered
123,2024-02-05,107,shipped
124,2024-02-02,103,shipped
125,2023-05-09,107,processing
126,2023-10-17,104,shipped
127,2023-06-13,106,delivered
128,2023-12-25,104,shipped
129,2023-11-06,106,processing
130,2023-05-22,102,processing
131,2023-07-22,103,shipped
132,2023-08-13,102,shipped
133,2023-09-11,107,shipped
134,2024-02-04,104,shipped
135,2024-03-13,107,shipped
136,2023-08-12,101,processing
137,2023-09-15,107,delivered
138,2023-11-25,109,shipped
139,2023-08-09,108,shipped
140,2023-12-12,110,delivered
141,2023-05-28,107,processing
142,2024-04-02,103,shipped
143,2023-08-19,103,delivered
144,2023-08-09,107,shipped
145,2023-10-04,102,delivered
146,2024-01-31,108,shipped
147,2023-11-11,110,shipped
148,2023-12-26,101,delivered
149,2023-08-21,105,shipped
150,2023-06-19,110,delivered
151,2023-09-27,108,processing
152,2023-12-21,110,processing
153,2024-03-05,109,processing
154,2023-07-18,105,delivered
155,2024-01-27,106,shipped
156,2023-06-24,102,delivered
157,2024-03-03,104,delivered
158,2024-01-28,107,shipped
159,2023-09-03,102,shipped
160,2023-09-13,104,delivered
161,2023-10-07,105,shipped
162,2024-01-23,104,shipped
163,2023-08-02,109,processing
164,2024-01-02,101,processing
165,2023-05-31,101,processing
166,2023-08-09,108,delivered
167,2023-09-16,107,shipped
168,2023-08-17,102,delivered
169,2023-12-06,110,shipped
170,2024-01-27,108,shipped
171,2023-09-29,105,delivered
172,2023-11-29,107,processing
173,2023-05-13,101,shipped
174,2024-04-27,105,delivered
175,2023-11-21,102,delivered
176,2023-09-07,109,delivered
177,2023-08-04,105,delivered
178,2024-04-11,109,delivered
179,2023-07-04,109,processing
180,2023-09-17,104,delivered
181,2024-01-29,101,shipped
182,2023-09-28,101,shipped
183,2023-07-29,103,shipped
184,2023-07-09,101,shipped
185,2023-12-17,105,shipped
186,2024-02-20,105,delivered
187,2024-02-29,107,processing
188,2024-03-03,101,processing
189,2023-07-31,102,processing
190,2023-07-02,105,shipped
191,2023-12-05,105,shipped
192,2024-02-02,101,shipped
193,2023-08-05,103,processing
194,2023-07-24,108,shipped
195,2023-11-24,105,delivered
196,2024-02-09,106,delivered
197,2024-02-20,102,delivered
198,2023-10-04,107,delivered
199,2024-01-22,103,shipped
200,2024-01-15,106,processing
201,2024-04-05,109,shipped
202,2023-07-20,103,delivered
203,2023-11-18,103,processing
204,2024-04-14,110,delivered
205,2023-07-16,110,delivered
206,2023-08-26,110,shipped
207,2023-05-05,106,shipped
208,2023-05-09,103,delivered
209,2024-02-10,107,processing
210,2023-06-06,107,shipped
211,2024-03-16,109,processing
212,2024-04-18,102,processing
213,2024-04-06,107,delivered
214,2023-06-05,106,delivered
215,2024-02-07,104,processing
216,2023-05-31,108,processing
217,2023-12-01,101,shipped
218,2023-06-15,106,shipped
219,2023-07-04,109,delivered
220,2023-11-12,102,delivered
221,2024-01-30,103,processing
222,2023-12-05,102,shipped
223,2023-05-10,104,shipped
224,2023-10-10,109,shipped
225,2023-12-26,106,delivered
226,2023-05-03,104,processing
227,2023-08-04,103,shipped
228,2023-05-19,110,processing
229,2024-02-26,107,delivered
230,2023-10-19,106,processing
231,2023-06-19,108,processing
232,2023-08-23,109,shipped
233,2023-06-04,107,shipped
234,2023-11-24,104,shipped
235,2024-04-25,109,processing
236,2023-08-25,109,shipped
237,2024-04-26,105,shipped
238,2023-06-09,102,processing
239,2023-11-15,108,shipped
240,2023-07-22,106,delivered
241,2023-06-01,108,processing
242,2024-04-07,103,delivered
243,2024-03-05,104,delivered
244,2023-07-29,107,delivered
245,2024-03-22,109,delivered
246,2023-09-27,105,processing
247,2024-04-10,106,shipped
248,2024-02-13,105,processing
249,2023-12-25,108,processing
250,2023-10-28,104,delivered
251,2023-08-04,109,delivered
252,2023-06-24,106,processing
253,2023-12-17,105,shipped
254,2023-05-21,103,shipped
255,2023-11-08,103,delivered
256,2024-03-19,107,shipped
257,2023-05-23,108,delivered
258,2023-08-09,103,delivered
259,2024-01-01,106,processing
260,2024-02-17,101,shipped
261,2024-01-04,107,delivered
262,2023-10-25,110,delivered
263,2023-06-09,106,delivered
264,2023-05-24,104,delivered
265,2023-06-15,105,delivered
266,2023-07-24,109,shipped
